date,month_index,solar_radiation_mean,lambda_0.000,lambda_0.003,lambda_0.006,lambda_0.010
2022-03-01,26,13.722580645161292,13.722580645161292,12.692898937149085,11.740479986575203,10.58081756776894
2022-04-01,27,20.508,20.508,18.912348224146022,17.440848222711097,15.655386669860183
2022-05-01,28,24.66483870967742,24.66483870967742,22.677623636222364,20.850515985104416,18.641284082402006
2022-06-01,29,14.686333333333332,14.686333333333332,13.46262538550035,12.340880337977609,10.989248174648
2022-07-01,30,16.41258064516129,16.41258064516129,14.999969282391879,13.708939705288422,12.15873879034359
2022-08-01,31,13.427,13.427,12.234595128476279,11.148083559822409,9.847992281223531
2022-09-01,32,16.540666666666667,16.540666666666667,15.026600468453779,13.65112580943142,12.010989172556897
2022-10-01,33,13.555483870967741,13.555483870967741,12.277780669859856,11.120510312438043,9.745359072992388
2022-11-01,34,9.959,9.959,8.993271305070344,8.121189754654248,7.08852064439283
2022-12-01,35,8.887096774193548,8.887096774193548,8.001271160403748,7.203740637573759,6.2626312489517915
2023-01-01,36,9.379999999999999,9.379999999999999,8.419746854517479,7.557797131573238,6.5442039385462705
2023-02-01,37,12.996785714285716,12.996785714285716,11.631327147241562,10.409325365536638,8.977326080794278
2023-03-01,38,16.79258064516129,16.79258064516129,14.983313680442107,13.368980836856199,11.483797864312132
2023-04-01,39,16.601,16.601,14.768003791705791,13.137397505682587,11.23982117354403
2023-05-01,40,20.909032258064514,20.909032258064514,18.54464802165571,16.447627322132856,14.015743465786473
2023-06-01,41,19.072333333333333,19.072333333333333,16.864971326914162,14.913081314520344,12.65735878734993
2023-07-01,42,15.44516129032258,15.44516129032258,13.61668350451289,12.0046703415294,10.148194107337071
2023-08-01,43,15.153548387096773,15.153548387096773,13.319574517893326,11.707559233372596,9.857521043136295
2023-09-01,44,14.193000000000001,14.193000000000001,12.437907743161546,10.899848448347631,9.140808924433028
2023-10-01,45,13.43774193548387,13.43774193548387,11.740768946189823,10.258096643738803,8.568282552292972
2023-11-01,46,9.471,9.471,8.250175709524456,7.186717267239717,5.978887406596096
2023-12-01,47,7.244,7.244,6.2913365739379055,5.463958570757696,4.527516431439884
2024-01-01,48,9.02290322580645,9.02290322580645,7.8128213551496835,6.765026289199426,5.5832226620030845
2024-02-01,49,8.965172413793104,8.965172413793104,7.739579351326514,6.681532241735884,5.492301249103667
2024-03-01,50,15.109655172413794,15.109655172413794,13.005000727928683,11.193507859941901,9.164469119754543
2024-04-01,51,18.605,18.605,15.965503474300982,13.700473054980742,11.172220243802208
2024-05-01,52,22.157096774193548,22.157096774193548,18.956707777101336,16.21858555787681,13.172849315622175
2024-06-01,53,23.817333333333334,23.817333333333334,20.316098613687462,17.329558145933227,14.019000764485945
2024-07-01,54,12.981612903225807,12.981612903225807,11.040098514294387,9.388954678739355,7.565012232350473
2024-08-01,55,16.38483870967742,16.38483870967742,13.892601584431457,11.779449416841235,9.453229586663246
2024-09-01,56,14.640333333333333,14.640333333333333,12.376261924394965,10.462320476849017,8.362691097767932
2024-10-01,57,11.842258064516129,11.842258064516129,9.980910575392464,8.412126755831808,6.697098187128614
2024-11-01,58,10.103793103448275,10.103793103448275,8.49018599941024,7.134276955847475,5.657097254735463
2024-12-01,59,9.305806451612904,9.305806451612904,7.796216523844945,6.531512599441422,5.15846242258744
